time,distance,gyro_angle
0,0,0
1,0,0
6,0,0
11,0,0
16,0,0
21,0,0
26,0,0
31,0,0
36,0,0
41,0,0
46,0,0
51,0,0
56,0,0
61,0,0
66,0,0
71,0,0
76,0,0
81,0,0
86,0,0
91,0,0
96,0,0
101,0,0
106,0,0
111,0,0
116,0,0
121,0,0
126,0,0
131,0,0
136,0,0
141,0,0
146,0,0
151,0,0
156,0,0
161,0,0
166,0,0
171,0,0
176,0,0
181,0,0
186,0,0
191,0,0
196,0,0
201,0,0
206,0,0
211,0,0
216,0,0
221,0,0
226,0,0
231,0,0
236,0,0
241,0,0
246,0,0
251,0,0
256,0,0
261,0,0
266,0,0
271,0,0
276,0,0
281,0,0
286,0,0
291,0,0
296,0,0
301,0,0
306,0,0
311,0,0
316,1,0
321,1,0
326,1,0
331,1,0
336,1,0
341,1,0
346,1,0
351,1,0
356,1,0
361,1,0
366,1,0
371,1,0
376,1,0
381,1,0
386,1,0
391,2,0
396,2,0
401,2,0
406,2,0
411,2,0
416,2,0
421,3,0
426,3,0
431,3,0
436,4,0
441,4,0
446,4,0
451,5,0
456,5,0
461,6,0
466,6,0
471,7,0
476,7,0
481,8,0
486,9,0
491,9,0
496,10,0
501,11,0
506,12,0
511,13,0
516,14,0
521,14,0
526,15,0
531,16,0
536,17,0
541,18,-1
546,19,-1
551,20,-1
556,21,-1
561,22,-1
566,23,-1
571,24,-1
576,25,-1
581,26,-1
586,28,-2
591,29,-2
596,30,-2
601,31,-2
606,32,-2
611,33,-2
616,34,-2
621,36,-2
626,37,-2
631,38,-2
636,40,-2
641,41,-3
646,42,-3
651,43,-3
656,44,-3
661,45,-3
666,47,-3
671,48,-3
676,50,-3
681,51,-3
686,52,-3
691,53,-3
696,55,-3
701,56,-3
706,58,-3
711,59,-3
716,61,-3
721,62,-3
726,64,-3
731,65,-3
736,66,-3
741,68,-3
746,69,-3
751,71,-3
756,73,-3
761,74,-3
766,76,-3
771,78,-3
776,80,-3
781,81,-3
786,83,-3
791,85,-3
796,87,-3
801,88,-3
806,90,-3
811,92,-3
816,93,-3
821,95,-3
826,97,-3
831,99,-4
836,101,-4
841,103,-4
846,104,-4
851,106,-4
856,108,-4
861,110,-4
866,111,-4
871,113,-4
876,115,-4
881,117,-4
886,119,-4
891,121,-4
896,123,-4
901,125,-4
906,127,-4
911,129,-4
916,131,-4
921,133,-4
926,135,-4
931,137,-4
936,139,-4
941,141,-4
946,143,-4
951,145,-4
956,147,-4
961,149,-4
966,151,-4
971,153,-4
976,155,-4
981,157,-4
986,159,-5
991,161,-5
996,163,-5
1001,166,-5
1006,168,-5
1011,170,-5
1016,172,-5
1021,175,-5
1026,177,-5
1031,178,-5
1036,181,-5
1041,183,-5
1046,184,-5
1051,188,-5
1056,190,-5
1061,191,-6
1066,194,-6
1071,196,-6
1076,198,-6
1081,200,-6
1086,202,-6
1091,204,-6
1096,206,-7
1101,208,-7
1106,210,-7
1111,212,-7
1116,215,-7
1121,216,-7
1126,218,-7
1131,220,-8
1136,222,-8
1141,224,-8
1146,226,-8
1151,229,-8
1156,231,-8
1161,233,-9
1166,235,-9
1171,238,-9
1176,240,-9
1181,242,-9
1186,244,-10
1191,246,-10
1196,248,-10
1201,251,-10
1206,253,-10
1211,255,-11
1216,258,-11
1221,260,-11
1226,262,-11
1231,264,-11
1236,266,-12
1241,269,-12
1246,271,-12
1251,273,-12
1256,275,-12
1261,277,-13
1266,279,-13
1271,281,-13
1276,283,-14
1281,286,-14
1286,287,-14
1291,289,-15
1296,291,-15
1301,293,-15
1306,295,-15
1311,297,-16
1316,299,-16
1321,301,-16
1326,303,-16
1331,305,-16
1336,307,-17
1341,309,-17
1346,311,-17
1351,313,-17
1356,315,-18
1361,317,-18
1366,319,-18
1371,321,-18
1376,323,-18
1381,325,-19
1386,327,-19
1391,329,-19
1396,331,-19
1401,333,-20
1406,335,-20
1411,337,-20
1416,338,-20
1421,341,-20
1426,342,-21
1431,344,-21
1436,346,-21
1441,348,-21
1446,350,-22
1451,352,-22
1456,353,-22
1461,355,-22
1466,357,-23
1471,359,-23
1476,361,-23
1481,363,-23
1486,364,-24
1491,366,-24
1496,368,-24
1501,369,-25
1506,372,-25
1511,373,-25
1516,374,-26
1521,376,-26
1526,378,-26
1531,379,-27
1536,381,-27
1541,382,-27
1546,384,-28
1551,386,-28
1556,387,-28
1561,389,-29
1566,391,-29
1571,393,-30
1576,394,-30
1581,396,-30
1586,397,-31
1591,399,-31
1596,400,-31
1601,402,-32
1606,404,-32
1611,406,-33
1616,407,-33
1621,409,-34
1626,411,-34
1631,412,-35
1636,414,-35
1641,416,-35
1646,417,-36
1651,419,-36
1656,420,-37
1661,422,-37
1666,423,-37
1671,425,-38
1676,426,-38
1681,428,-38
1686,429,-39
1691,431,-39
1696,432,-40
1701,434,-40
1706,435,-40
1711,437,-41
1716,438,-41
1721,439,-41
1726,440,-42
1731,442,-42
1736,443,-42
1741,444,-43
1746,446,-43
1751,447,-43
1756,448,-43
1761,450,-44
1766,451,-44
1771,452,-44
1776,453,-44
1781,455,-45
1786,456,-45
1791,457,-45
1796,459,-46
1801,461,-46
1806,462,-46
1811,463,-46
1816,465,-47
1821,465,-47
1826,467,-47
1831,469,-47
1836,470,-48
1841,471,-48
1846,473,-48
1851,474,-48
1856,476,-48
1861,478,-49
1866,479,-49
1871,481,-49
1876,482,-50
1881,483,-50
1886,485,-50
1891,486,-50
1896,487,-51
1901,489,-51
1906,491,-51
1911,492,-52
1916,493,-52
1921,495,-52
1926,497,-53
1931,498,-53
1936,499,-53
1941,501,-53
1946,502,-54
1951,504,-54
1956,506,-55
1961,507,-55
1966,508,-55
1971,510,-55
1976,511,-56
1981,513,-56
1986,514,-56
1991,516,-57
1996,517,-57
2001,519,-57
2006,521,-58
2011,522,-58
2016,524,-58
2021,525,-59
2026,527,-59
2031,528,-59
2036,530,-59
2041,531,-60
2046,533,-60
2051,534,-60
2056,536,-61
2061,538,-61
2066,540,-61
2071,542,-61
2076,543,-62
2081,545,-62
2086,547,-62
2091,549,-63
2096,550,-63
2101,552,-63
2106,554,-63
2111,556,-63
2116,559,-64
2121,559,-64
2126,562,-64
2131,564,-65
2136,565,-65
2141,568,-65
2146,570,-65
2151,571,-65
2156,573,-66
2161,575,-66
2166,576,-66
2171,578,-66
2176,580,-66
2181,582,-67
2186,584,-67
2191,586,-67
2196,587,-67
2201,590,-68
2206,592,-68
2211,593,-68
2216,595,-68
2221,596,-69
2226,598,-69
2231,600,-69
2236,602,-69
2241,604,-70
2246,606,-70
2251,608,-70
2256,610,-71
2261,612,-71
2266,613,-71
2271,615,-72
2276,617,-72
2281,619,-72
2286,621,-72
2291,623,-73
2296,624,-73
2301,626,-74
2306,628,-74
2311,631,-74
2316,632,-75
2321,634,-75
2326,636,-75
