time,distance,gyro_angle
1,0,0
1,0,-1
6,0,-1
11,0,-1
16,0,-1
21,0,-1
26,0,-1
31,0,-1
36,0,-1
41,0,-1
46,0,-1
51,0,-1
56,-1,-1
61,-1,-1
66,-1,-1
71,0,-1
76,-1,-1
81,-1,-1
86,-1,-1
91,-1,-1
96,-1,-1
101,-1,-1
106,0,-1
111,-1,-1
116,0,-1
121,0,-1
126,-1,-1
131,0,-1
136,0,-1
141,0,-1
146,0,-1
151,0,-1
156,0,-1
161,-1,-1
166,-1,-1
171,0,-1
176,0,-1
181,0,-1
186,0,-1
191,0,-1
196,0,-1
201,0,-1
206,0,-1
211,0,-1
216,-1,-1
221,0,-1
226,0,-1
231,-1,-1
236,0,-1
241,0,-1
246,0,-1
251,0,-1
256,-1,-1
261,-1,-1
266,0,-1
271,0,-1
276,0,-1
281,0,-1
286,0,-1
291,-1,-1
296,0,-1
301,0,-1
306,0,-1
311,0,-1
316,0,-1
321,0,-1
326,0,-1
331,0,-1
336,0,-1
341,0,-1
346,0,-1
351,0,-1
356,0,-1
361,0,-1
366,0,-1
371,0,-1
376,0,-1
381,0,-1
386,0,0
391,0,0
396,0,0
401,0,0
406,0,0
411,0,0
416,0,0
421,0,0
426,0,0
431,0,0
436,0,0
441,0,0
446,0,0
451,0,0
456,0,0
461,0,0
466,0,0
471,0,0
476,0,0
481,0,0
486,0,0
491,0,0
496,0,0
501,0,0
506,0,1
511,0,1
516,0,1
521,0,1
526,0,1
531,0,-1
536,0,-1
541,0,-1
546,0,-1
551,0,-1
556,0,-1
561,0,-1
566,0,-1
571,0,-1
576,0,-1
581,0,-1
586,0,-1
591,0,-1
596,0,-1
601,0,-1
606,0,-1
611,0,-1
616,0,-1
621,0,-1
626,0,-1
631,0,-1
636,0,-1
641,0,-1
646,0,-1
651,0,-1
656,0,-1
661,0,-1
666,0,-1
671,0,-1
676,0,-1
681,0,-1
686,0,-1
691,0,-1
696,0,-1
701,0,-1
706,0,-1
711,0,-1
716,0,-1
721,0,-1
726,0,-1
731,0,-1
736,0,-1
741,0,-1
746,0,-1
751,0,-1
756,0,-1
761,0,-1
766,0,-1
771,0,-1
776,0,-1
781,0,-1
786,0,-1
791,0,-1
796,0,-1
801,0,-1
806,0,-1
811,0,-1
816,0,-1
821,0,-1
826,0,-1
831,-1,-1
836,0,-1
841,-1,-1
846,-1,-1
851,0,-1
856,-1,-1
861,-1,-1
866,-1,-1
871,-1,-1
876,-1,-1
881,-1,-1
886,-1,-1
891,-1,-1
896,-1,-1
901,-1,-1
906,-1,-1
911,-1,-1
916,-1,-1
921,-1,-1
926,-1,-1
931,-1,-1
936,0,-1
941,0,-1
946,0,12
951,0,13
956,0,13
961,0,13
966,0,13
971,0,13
976,0,14
981,0,14
986,0,14
991,0,14
996,0,15
1001,0,15
1006,0,15
1011,0,15
1016,0,16
1021,0,16
1026,0,16
1031,0,16
1036,0,17
1041,0,17
1046,0,17
1051,0,18
1056,0,18
1061,0,18
1066,0,18
1071,0,19
1076,0,19
1081,0,19
1086,0,19
1091,0,20
1096,0,20
1101,0,20
1106,0,20
1111,0,20
1116,0,21
1121,0,21
1126,0,21
1131,0,21
1136,0,21
1141,0,21
1146,0,21
1151,0,21
1156,0,21
1161,0,21
1166,0,21
1171,0,21
1176,0,21
1181,0,21
1186,0,21
1191,0,21
1196,0,21
1201,0,21
1206,0,20
1211,0,20
1216,0,20
1221,0,20
1226,0,20
1231,0,20
1236,0,20
1241,0,20
1246,0,19
1251,0,19
1256,0,19
1261,0,19
1266,0,19
1271,0,19
1276,0,19
1281,1,18
1286,0,18
1291,1,18
1296,1,18
1301,1,18
1306,1,18
1311,1,18
1316,1,18
1321,1,17
1327,1,17
1332,1,17
1337,1,17
1342,1,17
1347,1,17
1352,1,17
1357,1,17
1362,1,17
1367,1,17
1372,1,17
1377,1,17
1382,1,17
1387,2,17
1392,1,17
1397,2,17
1402,1,17
1407,1,17
1412,2,17
1417,1,17
1422,2,17
1427,2,17
1432,1,17
1437,1,17
1442,1,17
1447,1,17
1452,1,17
1457,1,17
1462,1,17
1467,1,17
1472,1,17
1477,1,17
1482,0,17
1487,0,17
1492,0,17
1497,0,17
1502,0,17
1507,0,17
1512,0,17
1517,0,17
1522,0,17
1527,0,17
1532,0,17
1537,0,17
1542,0,17
1547,0,17
1552,0,17
1557,0,17
1562,0,17
1567,0,17
1572,0,17
1577,0,17
1582,0,17
1587,0,18
1592,0,18
1597,1,18
1602,1,18
1607,1,18
1612,1,18
1617,1,19
1622,1,19
1627,1,19
1632,1,19
1637,1,19
1642,2,20
1647,2,1
1652,2,1
1657,2,1
1662,2,1
1667,2,1
1672,2,1
1677,2,1
1682,2,1
1687,3,1
1692,3,1
1697,3,1
1702,3,1
1707,3,1
1712,3,1
1717,4,1
1722,4,1
1727,3,1
1732,3,1
1737,4,1
1742,4,2
1747,4,2
1752,4,2
1757,4,2
1762,4,2
1767,4,2
1772,4,2
1777,4,2
1782,4,2
1787,4,2
1792,4,3
1797,4,3
1802,5,3
1807,5,3
1812,4,3
1817,4,3
1822,4,3
1827,5,3
1832,5,3
1837,5,3
1842,5,4
1847,5,4
1852,5,4
1857,5,4
1862,5,4
1867,5,4
1872,5,4
1877,5,5
1882,5,5
1887,5,5
1892,6,5
1897,6,5
1902,6,5
1907,6,5
1912,6,6
1917,7,6
1922,7,6
1927,7,6
1932,7,6
1937,8,6
1942,8,7
1947,8,7
1952,9,7
1957,9,7
1962,9,7
1967,9,7
1972,10,8
1977,10,8
1982,10,8
1987,11,8
1992,11,8
1997,11,8
2002,11,8
2007,12,9
2012,12,9
2017,12,9
2022,12,9
2027,12,9
2032,13,9
2037,13,9
2042,13,9
2047,13,9
2052,13,10
2057,14,10
2062,14,10
2067,14,10
2072,14,10
2077,14,10
2082,14,10
2087,14,11
2092,14,11
2097,14,11
2102,14,11
2107,14,11
2112,14,11
2117,14,11
2122,14,12
2127,14,12
2132,14,12
2137,14,12
2142,15,12
2147,15,12
2152,15,12
2157,15,13
2162,15,13
2167,15,13
2172,15,13
2177,15,13
2182,15,14
2187,15,14
2192,16,14
2197,16,14
2202,16,14
2207,16,15
2212,16,15
2217,16,15
2222,17,15
2227,17,16
2232,17,16
2237,17,16
2242,18,16
2247,18,17
2252,18,17
2257,19,17
2262,19,17
2267,19,17
2272,19,17
2277,20,18
2282,20,18
2287,20,18
2292,21,18
2297,21,18
2302,21,18
2307,21,18
2312,21,18
2317,22,18
2322,22,19
2327,22,19
2332,22,19
2337,22,19
2342,22,19
2347,22,19
2352,22,19
2357,23,19
2362,23,19
2367,23,19
2372,23,19
2377,23,19
2382,23,19
2387,23,19
2392,23,20
2397,23,20
2402,23,20
2407,23,20
2412,23,20
2417,23,20
2422,23,20
2427,24,20
2432,24,20
2437,24,21
2442,24,21
2447,24,21
2452,24,21
2457,23,22
2462,23,22
2467,24,22
2472,23,22
2477,24,23
2482,25,23
2487,24,23
2492,24,23
2497,25,24
2502,24,24
2507,25,24
2512,25,24
2517,25,25
2522,25,25
2527,26,25
2532,26,25
2537,26,26
2542,27,26
2547,27,26
2552,28,26
2557,27,27
2562,28,27
2567,29,27
2572,29,28
2577,29,28
2582,30,28
2587,30,28
2592,30,29
2597,30,29
2602,31,29
2607,31,29
2612,31,30
2617,32,30
2622,32,30
2627,32,31
2634,33,31
2640,33,31
2646,33,31
2651,34,32
2656,34,32
2661,34,32
2666,34,33
2671,35,33
2676,35,33
2681,35,33
2686,35,34
2691,36,34
2696,36,34
2701,36,35
2706,37,35
2711,37,35
2716,37,36
2721,38,36
2726,38,36
2731,38,36
2736,39,37
2741,39,37
2746,39,37
2751,40,38
2756,40,38
2761,40,38
2766,41,38
2771,41,39
2776,41,39
2781,42,39
2786,42,40
2791,42,40
2796,43,40
2801,43,40
2806,43,41
2811,44,41
2816,44,41
2821,44,41
2826,44,42
2831,45,42
2836,45,42
2841,45,43
2846,45,43
2851,45,43
2856,46,44
2861,46,44
2866,46,44
2871,46,45
2876,46,45
2881,47,45
2886,47,46
2891,47,46
2896,48,46
2901,48,47
2906,48,47
2911,49,47
2916,49,48
2921,49,48
